151    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
152    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
153    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
154    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
155    0.94545623527015976 0.055470920546244501 0.46555719229976239  0         -1 -1 0.065114259719848633 
156    0.78929085225138773 0.13419694285646372 0.54026516877992625  0         -0.64739072322845459 -0.73447352647781372 -0.076372087001800537 
157    0.71309521568988465 0.50293161757632276 0.81630777596508486  0         -0.47593581676483154 -0.23453986644744873 -0.62136417627334595 
158    0.94545623527015976 0.055470311470105206 0.48727788380415965  0         -1 -1 0.023646712303161621 
159    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
160    0.94545623527015976 0.055471884440376373 0.44704252257317412  0         -1 -1 0.09976351261138916 
161    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
162    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
163    0.94545623527015976 0.66511557662008758 0.81630777596508475  0         -1 -0.31614440679550171 -0.62136417627334595 
164    0.94545623527015976 0.055471884440376373 0.44704252257317412  0         -1 -1 0.09976351261138916 
165    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
166    0.94545623527015976 0.057233199080275292 0.59772743660854699  0         -1 -0.99804729223251343 -0.18546479940414429 
167    0.94545623527015976 0.10302080993575084 0.64361639321758635  0         -1 -0.9462587833404541 -0.27272361516952515 
168    0.94545623527015976 0.055479451159869478 0.62387206189406597  0         -1 -1 -0.23467814922332764 
169    0.94545623527015976 0.055480268222376776 0.37092064605308261  0         -1 -1 0.24503922462463379 
170    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
171    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
172    0.94545623527015976 0.055472126281477796 0.55665605724762446  0         -1 -1 -0.10723245143890381 
173    0.78929085225138773 0.13419694285646372 0.54026516877992625  0         -0.64739072322845459 -0.73447352647781372 -0.076372087001800537 
174    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
175    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
176    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
177    0.81240073742245411 0.69218853433395089 0.88376392224160039  0         -0.69902920722961426 -0.13518905639648438 -0.77048075199127197 
178    0.21515688827230031 0.670118949226992 0.064062687830266155  0         0.63692569732666016 0.50875306129455566 0.89380180835723877 
179    0.94545623527015976 0.56761755744076292 0.022720032563287113  0         -1 -0.42461478710174561 1 
180    0.94545623527015976 0.05547053847832345 0.47667938108153524  0         -1 -1 0.044290304183959961 
181    0.71309521568988465 0.39725724681930036 0.69694782176193104  0         -0.47593581676483154 -0.35343855619430542 -0.37705719470977783 
182    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
183    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
184    0.78929085225138773 0.13419694285646372 0.54026516877992625  0         -0.64739072322845459 -0.73447352647781372 -0.076372087001800537 
185    0.41170072690411613 0.93477061117015869 0.30254518649242784  0         0.19666612148284912 0.58715569972991943 0.37822389602661133 
186    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
187    0.8797571413266525 0.27370918973791691 0.50265059100664244  0         -0.85125648975372314 -0.67884266376495361 -0.0047257542610168457 
188    0.77149336981138983 0.35037350754558361 0.74353670154861473  0         -0.60738122463226318 -0.47108912467956543 -0.46953731775283813 
189    0.94545623527015976 0.055543451597830515 0.8293429806501379  0         -1 -1 -0.64867371320724487 
190    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
191    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
192    0.94545623527015976 0.055474276994966987 0.41750808139665363  0         -1 -1 0.1564791202545166 
193    0.94545623527015976 0.055502016577862738 0.72564285895630765  0         -1 -1 -0.43362021446228027 
194    0.41170072690411613 0.93477061117015869 0.30254518649242784  0         0.19666612148284912 0.58715569972991943 0.37822389602661133 
195    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
196    0.94545623527015976 0.05547070205586882 0.52861787609678212  0         -1 -1 -0.054366827011108398 
197    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
198    0.78929085225138773 0.13419694285646372 0.54026516877992625  0         -0.64739072322845459 -0.73447352647781372 -0.076372087001800537 
199    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
200    0.94545623527015976 0.30187464068189318 0.59772743660854477  0         -1 -0.72162449359893799 -0.18546479940414429 
201    0.21515688827230031 0.670118949226992 0.064062687830266155  0         0.63692569732666016 0.50875306129455566 0.89380180835723877 
202    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
203    0.054543764729840405 0.37154939967377593 0.065683776130029584  0         1 0.35740292072296143 0.88991391658782959 
204    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
205    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
206    0.94545623527015976 0.05551093001687115 0.75339452146833685  0         -1 -1 -0.49017000198364258 
207    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
208    0.94545623527015976 0.055470311470105206 0.48727788380415965  0         -1 -1 0.023646712303161621 
209    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
210    0.94545623527015976 0.055470311470105206 0.48727788380415965  0         -1 -1 0.023646712303161621 
211    0.85940591475430772 0.35403154740058668 0.59772743660854422  0         -0.80484747886657715 -0.56585437059402466 -0.18546479940414429 
212    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
213    0.94545623527015976 0.05547053847832345 0.47667938108153524  0         -1 -1 0.044290304183959961 
